"groupId"	"artifactId"	"version"	"packaging"	"repository"	"tag"	"path"	"author"
"org.jvnet.hudson.plugins"	"analysis-config"	"1.0.14"	"jar"	"analysis-config-plugin"	"analysis-config-1.0.14"	""	"drulli"
"org.jvnet.hudson.plugins"	"analysis-core"	"1.22"	"hpi"	"analysis-core-plugin"	"analysis-core-1.22"	""	"drulli"
"org.jvnet.hudson.plugins"	"analysis-collector"	"1.10"	"hpi"	"analysis-collector-plugin"	"analysis-collector-1.10"	""	""
"org.jvnet.hudson.plugins"	"analysis-collector"	"1.11"	"hpi"	"analysis-collector-plugin"	"analysis-collector-1.11"	""	"drulli"
"org.jvnet.hudson.plugins"	"analysis-core"	"1.23"	"hpi"	"analysis-core-plugin"	"analysis-core-1.23"	""	"drulli"
"org.jvnet.hudson.plugins"	"analysis-collector"	"1.12"	"hpi"	"analysis-collector-plugin"	"analysis-collector-1.12"	""	"drulli"
"org.jvnet.hudson.plugins"	"analysis-core"	"1.24"	"hpi"	"analysis-core-plugin"	"analysis-core-1.24"	""	"drulli"
"org.jvnet.hudson.plugins"	"analysis-pom"	"1.0"	"pom"	"analysis-pom-plugin"	"analysis-pom-1.0"	""	""
"org.jvnet.hudson.plugins"	"analysis-pom"	"1.32"	"pom"	"analysis-pom-plugin"	"analysis-pom-1.32"	""	"drulli"
"org.jvnet.hudson.plugins"	"analysis-pom"	"1.16"	"pom"	"analysis-pom-plugin"	"analysis-pom-1.16"	""	""
"org.jvnet.hudson.plugins"	"analysis-pom"	"1.33"	"pom"	"analysis-pom-plugin"	"analysis-pom-1.33"	""	"drulli"
"org.jvnet.hudson.plugins"	"analysis-pom"	"1.17"	"pom"	"analysis-pom-plugin"	"analysis-pom-1.17"	""	"drulli"
"org.jvnet.hudson.plugins"	"analysis-pom"	"1.18"	"pom"	"analysis-pom-plugin"	"analysis-pom-1.18"	""	"drulli"
"org.jvnet.hudson.plugins"	"analysis-pom"	"1.3"	"pom"	"analysis-pom-plugin"	"analysis-pom-1.3"	""	""
"org.jvnet.hudson.plugins"	"analysis-test"	"1.1"	"jar"	"analysis-test-plugin"	"analysis-test-1.1"	""	""
"org.jvnet.hudson.plugins"	"analysis-test"	"1.2"	"jar"	"analysis-test-plugin"	"analysis-test-1.2"	""	""
"org.jvnet.hudson.plugins"	"analysis-test"	"1.10"	"jar"	"analysis-test-plugin"	"analysis-test-1.10"	""	"drulli"
"org.jvnet.hudson.plugins"	"analysis-test"	"1.0"	"jar"	"analysis-test-plugin"	"analysis-test-1.0"	""	""
"org.jvnet.hudson.plugins"	"analysis-test"	"1.5"	"jar"	"analysis-test-plugin"	"analysis-test-1.5"	""	"drulli"
"org.jvnet.hudson.plugins"	"analysis-core"	"1.25"	"hpi"	"analysis-core-plugin"	"analysis-core-1.25"	""	"drulli"
"org.jvnet.hudson.plugins"	"analysis-test"	"1.6"	"jar"	"analysis-test-plugin"	"analysis-test-1.6"	""	"drulli"
"org.jvnet.hudson.plugins"	"analysis-core"	"1.39"	"hpi"	"analysis-core-plugin"	"analysis-core-1.39"	""	"drulli"
"org.jvnet.hudson.plugins"	"analysis-core"	"1.26"	"hpi"	"analysis-core-plugin"	"analysis-core-1.26"	""	"drulli"
"org.jvnet.hudson.plugins"	"analysis-test"	"1.3"	"jar"	"analysis-test-plugin"	"analysis-test-1.3"	""	""
"org.jvnet.hudson.plugins"	"analysis-test"	"1.4"	"jar"	"analysis-test-plugin"	"analysis-test-1.4"	""	""
"org.jvnet.hudson.plugins"	"analysis-test"	"1.9"	"jar"	"analysis-test-plugin"	"analysis-test-1.9"	""	"drulli"
"org.jvnet.hudson.plugins"	"analysis-pom"	"1.30"	"pom"	"analysis-pom-plugin"	"analysis-pom-1.30"	""	"drulli"
"org.jvnet.hudson.plugins"	"analysis-pom"	"1.4"	"pom"	"analysis-pom-plugin"	"analysis-pom-1.4"	""	""
"org.jvnet.hudson.plugins"	"analysis-pom"	"1.31"	"pom"	"analysis-pom-plugin"	"analysis-pom-1.31"	""	"drulli"
"org.jvnet.hudson.plugins"	"analysis-pom"	"1.19"	"pom"	"analysis-pom-plugin"	"analysis-pom-1.19"	""	"drulli"
"org.jvnet.hudson.plugins"	"analysis-pom"	"1.1"	"pom"	"analysis-pom-plugin"	"analysis-pom-1.1"	""	""
"org.jvnet.hudson.plugins"	"analysis-test"	"1.8"	"jar"	"analysis-test-plugin"	"analysis-test-1.8"	""	"drulli"
"org.jvnet.hudson.plugins"	"analysis-core"	"1.27"	"hpi"	"analysis-core-plugin"	"analysis-core-1.27"	""	"drulli"
"org.jvnet.hudson.plugins"	"analysis-collector"	"1.18"	"hpi"	"analysis-collector-plugin"	"analysis-collector-1.18"	""	"drulli"
"org.jvnet.hudson.plugins"	"analysis-core"	"1.29"	"hpi"	"analysis-core-plugin"	"analysis-core-1.29"	""	"drulli"
"org.jvnet.hudson.plugins"	"analysis-core"	"1.28"	"hpi"	"analysis-core-plugin"	"analysis-core-1.28"	""	"drulli"
"org.jvnet.hudson.plugins"	"analysis-core"	"1.2"	"hpi"	"analysis-core-plugin"	"analysis-core-1.2"	""	""
"org.jvnet.hudson.plugins"	"analysis-pom"	"1.2"	"pom"	"analysis-pom-plugin"	"analysis-pom-1.2"	""	""
"org.jvnet.hudson.plugins"	"analysis-core"	"1.3"	"hpi"	"analysis-core-plugin"	"analysis-core-1.3"	""	""
"org.jvnet.hudson.plugins"	"analysis-pom"	"1.39"	"pom"	"analysis-pom-plugin"	"analysis-pom-1.39"	""	"drulli"
"org.jvnet.hudson.plugins"	"analysis-core"	"1.4"	"hpi"	"analysis-core-plugin"	"analysis-core-1.4"	""	""
"org.jvnet.hudson.plugins"	"analysis-pom"	"1.38"	"pom"	"analysis-pom-plugin"	"analysis-pom-1.38"	""	"drulli"
"org.jvnet.hudson.plugins"	"analysis-pom"	"1.10"	"pom"	"analysis-pom-plugin"	"analysis-pom-1.10"	""	""
"org.jvnet.hudson.plugins"	"analysis-pom"	"1.37"	"pom"	"analysis-pom-plugin"	"analysis-pom-1.37"	""	"drulli"
"org.jvnet.hudson.plugins"	"analysis-pom"	"1.13"	"pom"	"analysis-pom-plugin"	"analysis-pom-1.13"	""	""
"org.jvnet.hudson.plugins"	"analysis-core"	"1.5"	"hpi"	"analysis-core-plugin"	"analysis-core-1.5"	""	""
"org.jvnet.hudson.plugins"	"analysis-pom"	"1.36"	"pom"	"analysis-pom-plugin"	"analysis-pom-1.36"	""	"drulli"
"org.jvnet.hudson.plugins"	"analysis-pom"	"1.12"	"pom"	"analysis-pom-plugin"	"analysis-pom-1.12"	""	""
"org.jvnet.hudson.plugins"	"analysis-core"	"1.6"	"hpi"	"analysis-core-plugin"	"analysis-core-1.6"	""	""
